train_pos,train_neg,train_neut
0.387,0.243,0.37
0.382,0.233,0.384
0.465,0.248,0.287
0.372,0.234,0.394
0.363,0.181,0.457
0.014,0.005,0.98
0.317,0.094,0.588
0.308,0.171,0.521
0.407,0.2,0.392
0.35,0.23,0.42
0.342,0.237,0.421
0.404,0.168,0.428
0.365,0.137,0.498
0.374,0.204,0.422
0.424,0.158,0.418
0.365,0.286,0.349
0.422,0.223,0.355
0.436,0.146,0.417
0.295,0.18,0.526
0.405,0.196,0.398
0.409,0.234,0.357
0.419,0.2,0.382
0.401,0.177,0.422
0.367,0.218,0.414
0.398,0.169,0.433
0.35,0.18,0.47
0.382,0.235,0.382
0.419,0.147,0.433
0.435,0.141,0.425
0.405,0.171,0.424
0.422,0.182,0.396
0.399,0.142,0.458
0.461,0.131,0.409
0.46,0.162,0.378
0.406,0.158,0.436
0.397,0.167,0.437
0.415,0.147,0.438
0.425,0.197,0.377
0.367,0.186,0.448
0.395,0.145,0.461
0.421,0.159,0.42
0.476,0.137,0.387
0.49,0.106,0.405
0.434,0.149,0.417
0.502,0.144,0.354
0.405,0.18,0.415
0.358,0.237,0.405
0.429,0.168,0.403
0.445,0.145,0.411
0.401,0.192,0.407
0.433,0.223,0.344
0.383,0.145,0.472
0.408,0.17,0.422
0.428,0.158,0.414
0.419,0.16,0.421
0.358,0.228,0.415
